accuracy,precision,recall,f1,probs,C,word_ng,char_ng,type
0.9866126880434283,0.9836967808930426,0.9860518372020401,0.9848729011800177,"[8.11339761e-05 9.99753887e-01 9.99413457e-01 ... 9.99794594e-01
 9.99668438e-01 9.71354658e-01]",2.0,"(1, 3)",,word
0.9866126880434283,0.9836967808930426,0.9860518372020401,0.9848729011800177,"[8.11339761e-05 9.99753887e-01 9.99413457e-01 ... 9.99794594e-01
 9.99668438e-01 9.71354658e-01]",2.0,"(1, 3)",,word
0.9865666835349864,0.9836950877557379,0.9859477464348912,0.9848201289249324,"[1.10070412e-04 9.99054955e-01 9.99758888e-01 ... 9.99823748e-01
 9.99427647e-01 9.83719700e-01]",2.5,"(1, 2)",,word
0.9865666835349864,0.9836950877557379,0.9859477464348912,0.9848201289249324,"[1.10070412e-04 9.99054955e-01 9.99758888e-01 ... 9.99823748e-01
 9.99427647e-01 9.83719700e-01]",2.5,"(1, 2)",,word
0.9865206790265446,0.9835929387331257,0.9859477464348912,0.9847689348651038,"[1.10977486e-04 9.99016917e-01 9.99749511e-01 ... 9.99783385e-01
 9.99471501e-01 9.83938979e-01]",2.0,"(1, 2)",,word
0.9865206790265446,0.9835929387331257,0.9859477464348912,0.9847689348651038,"[1.10977486e-04 9.99016917e-01 9.99749511e-01 ... 9.99783385e-01
 9.99471501e-01 9.83938979e-01]",2.0,"(1, 2)",,word
0.9864746745181028,0.9832900882200312,0.9861559279691892,0.9847209229809791,"[8.86982270e-05 9.99723695e-01 9.99376158e-01 ... 9.99738311e-01
 9.99667078e-01 9.74307486e-01]",1.5,"(1, 3)",,word
0.9864746745181028,0.9832900882200312,0.9861559279691892,0.9847209229809791,"[8.86982270e-05 9.99723695e-01 9.99376158e-01 ... 9.99738311e-01
 9.99667078e-01 9.74307486e-01]",1.5,"(1, 3)",,word
0.9864746745181028,0.9834908109230609,0.9859477464348912,0.9847177461274561,"[1.51746763e-04 9.98861597e-01 9.99736666e-01 ... 9.99670368e-01
 9.99571808e-01 9.84871890e-01]",1.0,"(1, 2)",,word
0.9864746745181028,0.9834908109230609,0.9859477464348912,0.9847177461274561,"[1.51746763e-04 9.98861597e-01 9.99736666e-01 ... 9.99670368e-01
 9.99571808e-01 9.84871890e-01]",1.0,"(1, 2)",,word
0.9864746745181028,0.9836917004258855,0.9857395649005933,0.9847145679525839,"[1.19912794e-04 9.98951207e-01 9.99744013e-01 ... 9.99735418e-01
 9.99526105e-01 9.84282940e-01]",1.5,"(1, 2)",,word
0.9864746745181028,0.9836917004258855,0.9857395649005933,0.9847145679525839,"[1.19912794e-04 9.98951207e-01 9.99744013e-01 ... 9.99735418e-01
 9.99526105e-01 9.84282940e-01]",1.5,"(1, 2)",,word
0.9862906564843354,0.9834839513867248,0.9855313833662954,0.9845066028907143,"[7.91069704e-05 9.99774118e-01 9.99441319e-01 ... 9.99824232e-01
 9.99658615e-01 9.68825061e-01]",2.5,"(1, 3)",,word
0.9862906564843354,0.9834839513867248,0.9855313833662954,0.9845066028907143,"[7.91069704e-05 9.99774118e-01 9.99441319e-01 ... 9.99824232e-01
 9.99658615e-01 9.68825061e-01]",2.5,"(1, 3)",,word
0.9860606339421263,0.9820725388601036,0.986468200270636,0.9842654619099548,"[1.15347486e-04 9.99673157e-01 9.99378269e-01 ... 9.99626318e-01
 9.99664750e-01 9.77766112e-01]",1.0,"(1, 3)",,word
0.9860606339421263,0.9820725388601036,0.986468200270636,0.9842654619099548,"[1.15347486e-04 9.99673157e-01 9.99378269e-01 ... 9.99626318e-01
 9.99664750e-01 9.77766112e-01]",1.0,"(1, 3)",,word
0.9851405437732897,0.9832396418904851,0.9831372957218695,0.9831884661427158,[0.00911096 0.99979334 0.99358723 ... 0.99982624 0.99978434 0.9168215 ],1.5,,"(3, 5)",char
0.9851405437732897,0.9832396418904851,0.9831372957218695,0.9831884661427158,[0.00911096 0.99979334 0.99358723 ... 0.99982624 0.99978434 0.9168215 ],1.5,,"(3, 5)",char
0.9850945392648479,0.9831372957218695,0.9831372957218695,0.9831372957218695,[0.00598168 0.99980548 0.99257929 ... 0.99983368 0.99978049 0.90330333],2.5,,"(3, 5)",char
0.9850945392648479,0.9831372957218695,0.9831372957218695,0.9831372957218695,[0.00598168 0.99980548 0.99257929 ... 0.99983368 0.99978049 0.90330333],2.5,,"(3, 5)",char
0.9850945392648479,0.983237896928683,0.9830332049547205,0.9831355402873204,[0.00698991 0.9998037  0.99309619 ... 0.99980882 0.99978517 0.90935439],2.0,,"(3, 5)",char
0.9850945392648479,0.983237896928683,0.9830332049547205,0.9831355402873204,[0.00698991 0.9998037  0.99309619 ... 0.99980882 0.99978517 0.90935439],2.0,,"(3, 5)",char
0.9848645167226389,0.9808250414593698,0.9850109295305507,0.9829135289535186,"[2.14666469e-04 9.99533429e-01 9.99377822e-01 ... 9.99499930e-01
 9.99636493e-01 9.82426652e-01]",0.5,"(1, 3)",,word
0.9848645167226389,0.9808250414593698,0.9850109295305507,0.9829135289535186,"[2.14666469e-04 9.99533429e-01 9.99377822e-01 ... 9.99499930e-01
 9.99636493e-01 9.82426652e-01]",0.5,"(1, 3)",,word
0.9847265031973134,0.9809188012029452,0.9845945664619549,0.9827532467532467,"[3.02609348e-04 9.98666981e-01 9.99668375e-01 ... 9.99524055e-01
 9.99564555e-01 9.86182199e-01]",0.5,"(1, 2)",,word
0.9847265031973134,0.9809188012029452,0.9845945664619549,0.9827532467532467,"[3.02609348e-04 9.98666981e-01 9.99668375e-01 ... 9.99524055e-01
 9.99564555e-01 9.86182199e-01]",0.5,"(1, 2)",,word
0.984542485163546,0.982412321781663,0.9826168418861247,0.9825145711906744,[0.01401647 0.99977789 0.99405527 ... 0.9998065  0.99978438 0.92612776],1.0,,"(3, 5)",char
0.984542485163546,0.982412321781663,0.9826168418861247,0.9825145711906744,[0.01401647 0.99977789 0.99405527 ... 0.9998065  0.99978438 0.92612776],1.0,,"(3, 5)",char
0.9839444265538023,0.9814853338880799,0.9822004788175289,0.9818427761302742,[0.01620316 0.99979322 0.99798008 ... 0.99974912 0.99966365 0.88519654],1.5,,"(4, 6)",char
